Đội có chỉ số cao nhất ở mỗi chỉ số:
Chỉ số: Median of Cmp%/Medium, Đội: Manchester City, Giá trị lớn nhất: 91.4
Chỉ số: Mean of Cmp%/Medium, Đội: Manchester City, Giá trị lớn nhất: 89.7047619047619
Chỉ số: Std of Cmp%/Medium, Đội: Sheffield Utd, Giá trị lớn nhất: 12.401345866894642
Chỉ số: Median of Cmp/Long, Đội: Fulham, Giá trị lớn nhất: 66.0
Chỉ số: Mean of Cmp/Long, Đội: Manchester City, Giá trị lớn nhất: 78.61904761904762
Chỉ số: Std of Cmp/Long, Đội: Everton, Giá trị lớn nhất: 99.80374021681163
Chỉ số: Median of Att/Long, Đội: Fulham, Giá trị lớn nhất: 109.0
Chỉ số: Mean of Att/Long, Đội: Fulham, Giá trị lớn nhất: 135.38095238095238
Chỉ số: Std of Att/Long, Đội: Everton, Giá trị lớn nhất: 216.7342957187705
Chỉ số: Median of Cmp%/Long, Đội: Manchester City, Giá trị lớn nhất: 67.5
Chỉ số: Mean of Cmp%/Long, Đội: Manchester City, Giá trị lớn nhất: 65.71428571428571
Chỉ số: Std of Cmp%/Long, Đội: Everton, Giá trị lớn nhất: 18.77230109862798
Chỉ số: Median of In, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of In, Đội: Arsenal, Giá trị lớn nhất: 10.333333333333334
Chỉ số: Std of In, Đội: Arsenal, Giá trị lớn nhất: 23.29449148046236
Chỉ số: Median of Out, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Out, Đội: Liverpool, Giá trị lớn nhất: 7.772727272727272
Chỉ số: Std of Out, Đội: Liverpool, Giá trị lớn nhất: 16.303466818533728
Chỉ số: Median of Str, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Str, Đội: Wolves, Giá trị lớn nhất: 0.6
Chỉ số: Std of Str, Đội: Wolves, Giá trị lớn nhất: 2.081665999466133
Chỉ số: Median of Cmp-OC, Đội: Manchester City, Giá trị lớn nhất: 1011.0
Chỉ số: Mean of Cmp-OC, Đội: Manchester City, Giá trị lớn nhất: 1169.2857142857142
Chỉ số: Std of Cmp-OC, Đội: Manchester City, Giá trị lớn nhất: 879.898979591245
Chỉ số: Median of Off-OC, Đội: Liverpool, Giá trị lớn nhất: 3.5
Chỉ số: Mean of Off-OC, Đội: Liverpool, Giá trị lớn nhất: 4.545454545454546
Chỉ số: Std of Off-OC, Đội: Manchester Utd, Giá trị lớn nhất: 4.658160746309807
Chỉ số: Median of Blocks-OC, Đội: Tottenham, Giá trị lớn nhất: 17.5
Chỉ số: Mean of Blocks-OC, Đội: Tottenham, Giá trị lớn nhất: 20.0
Chỉ số: Std of Blocks-OC, Đội: West Ham, Giá trị lớn nhất: 20.015199851818245
Chỉ số: Median of SCA, Đội: Manchester City, Giá trị lớn nhất: 54.0
Chỉ số: Mean of SCA, Đội: Liverpool, Giá trị lớn nhất: 63.04545454545455
Chỉ số: Std of SCA, Đội: Arsenal, Giá trị lớn nhất: 59.48473193461775
Chỉ số: Median of SCA90, Đội: Liverpool, Giá trị lớn nhất: 3.505
Chỉ số: Mean of SCA90, Đội: Liverpool, Giá trị lớn nhất: 3.2145454545454544
Chỉ số: Std of SCA90, Đội: Tottenham, Giá trị lớn nhất: 2.186052461017082
Chỉ số: Median of PassLive/SCA, Đội: Liverpool, Giá trị lớn nhất: 43.0
Chỉ số: Mean of PassLive/SCA, Đội: Liverpool, Giá trị lớn nhất: 47.5
Chỉ số: Std of PassLive/SCA, Đội: Arsenal, Giá trị lớn nhất: 46.29362807125836
Chỉ số: Median of PassDead/SCA, Đội: Arsenal, Giá trị lớn nhất: 1.0
Chỉ số: Mean of PassDead/SCA, Đội: Liverpool, Giá trị lớn nhất: 5.2727272727272725
Chỉ số: Std of PassDead/SCA, Đội: West Ham, Giá trị lớn nhất: 11.230466447275314
Chỉ số: Median of TO/SCA, Đội: Liverpool, Giá trị lớn nhất: 2.0
Chỉ số: Mean of TO/SCA, Đội: Manchester City, Giá trị lớn nhất: 3.0476190476190474
Chỉ số: Std of TO/SCA, Đội: West Ham, Giá trị lớn nhất: 5.44710892777037
Chỉ số: Median of Sh/SCA, Đội: Fulham, Giá trị lớn nhất: 3.0
Chỉ số: Mean of Sh/SCA, Đội: Liverpool, Giá trị lớn nhất: 4.545454545454546
Chỉ số: Std of Sh/SCA, Đội: Liverpool, Giá trị lớn nhất: 5.646130345536479
Chỉ số: Median of Fld/SCA, Đội: Manchester City, Giá trị lớn nhất: 2.0
Chỉ số: Mean of Fld/SCA, Đội: Manchester City, Giá trị lớn nhất: 2.571428571428572
Chỉ số: Std of Fld/SCA, Đội: Crystal Palace, Giá trị lớn nhất: 3.261268091589128
Chỉ số: Median of Def/SCA, Đội: Bournemouth, Giá trị lớn nhất: 1.0
Chỉ số: Mean of Def/SCA, Đội: Everton, Giá trị lớn nhất: 1.391304347826087
Chỉ số: Std of Def/SCA, Đội: Chelsea, Giá trị lớn nhất: 1.8257418583505536
Chỉ số: Median of GCA, Đội: Manchester City, Giá trị lớn nhất: 6.0
Chỉ số: Mean of GCA, Đội: Manchester City, Giá trị lớn nhất: 7.952380952380952
Chỉ số: Std of GCA, Đội: Manchester City, Giá trị lớn nhất: 6.989107170992519
Chỉ số: Median of GCA90, Đội: Arsenal, Giá trị lớn nhất: 0.38
Chỉ số: Mean of GCA90, Đội: Manchester City, Giá trị lớn nhất: 0.4233333333333333
Chỉ số: Std of GCA90, Đội: Manchester City, Giá trị lớn nhất: 0.4383529780135334
Chỉ số: Median of PassLive/GCA, Đội: Manchester City, Giá trị lớn nhất: 4.0
Chỉ số: Mean of PassLive/GCA, Đội: Manchester City, Giá trị lớn nhất: 5.904761904761905
Chỉ số: Std of PassLive/GCA, Đội: Arsenal, Giá trị lớn nhất: 5.324248214313364
Chỉ số: Median of PassDead/GCA, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of PassDead/GCA, Đội: Arsenal, Giá trị lớn nhất: 0.7619047619047619
Chỉ số: Std of PassDead/GCA, Đội: West Ham, Giá trị lớn nhất: 1.535298947157477
Chỉ số: Median of TO/GCA, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of TO/GCA, Đội: Newcastle Utd, Giá trị lớn nhất: 0.75
Chỉ số: Std of TO/GCA, Đội: Newcastle Utd, Giá trị lớn nhất: 1.3909646324388163
Chỉ số: Median of Sh/GCA, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Sh/GCA, Đội: Luton Town, Giá trị lớn nhất: 0.64
Chỉ số: Std of Sh/GCA, Đội: Aston Villa, Giá trị lớn nhất: 1.5023038960368271
Chỉ số: Median of Fld/GCA, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Fld/GCA, Đội: Arsenal, Giá trị lớn nhất: 0.6190476190476191
Chỉ số: Std of Fld/GCA, Đội: Newcastle Utd, Giá trị lớn nhất: 1.1787674722451362
Chỉ số: Median of Def/GCA, Đội: All, Giá trị lớn nhất: 0.0
Chỉ số: Mean of Def/GCA, Đội: Manchester Utd, Giá trị lớn nhất: 0.1923076923076923
Chỉ số: Std of Def/GCA, Đội: Manchester Utd, Giá trị lớn nhất: 0.4914656259988704
Chỉ số: Median of Tkl-Challenges, Đội: Crystal Palace, Giá trị lớn nhất: 14.0
Chỉ số: Mean of Tkl-Challenges, Đội: Fulham, Giá trị lớn nhất: 16.428571428571427
Chỉ số: Std of Tkl-Challenges, Đội: Fulham, Giá trị lớn nhất: 22.874814597218982
Chỉ số: Median of Att-Challenges, Đội: Everton, Giá trị lớn nhất: 28.0
Chỉ số: Mean of Att-Challenges, Đội: Liverpool, Giá trị lớn nhất: 34.45454545454545
Chỉ số: Std of Att-Challenges, Đội: Fulham, Giá trị lớn nhất: 35.49124640567828
Chỉ số: Median of Tkl%-Challenges, Đội: Luton Town, Giá trị lớn nhất: 53.3
Chỉ số: Mean of Tkl%-Challenges, Đội: Arsenal, Giá trị lớn nhất: 56.225
Chỉ số: Std of Tkl%-Challenges, Đội: Tottenham, Giá trị lớn nhất: 23.276500792224653
Chỉ số: Median of Lost-Challenges, Đội: Liverpool, Giá trị lớn nhất: 14.5
Chỉ số: Mean of Lost-Challenges, Đội: Liverpool, Giá trị lớn nhất: 19.13636363636364
