Kết quả phân cụm với tên:
                 Player  Cluster Cluster_Name
           Raúl Jiménez        1      Tiền vệ
              Joelinton        1      Tiền vệ
        Brennan Johnson        1      Tiền vệ
            Ben Johnson        1      Tiền vệ
        Brennan Johnson        0     Tiền đạo
          Sam Johnstone        1      Tiền vệ
           Curtis Jones        1      Tiền vệ
               Jorginho        1      Tiền vệ
             Diogo Jota        0     Tiền đạo
      Mathias Jørgensen        1      Tiền vệ
            Issa Kaboré        2       Hậu vệ
         Sasa Kalajdzic        1      Tiền vệ
        Boubacar Kamara        2       Hậu vệ
         Willy Kambwala        1      Tiền vệ
        Thomas Kaminski        3      Thủ môn
          Michael Keane        1      Tiền vệ
      Caoimhín Kelleher        1      Tiền vệ
            Lloyd Kelly        1      Tiền vệ
           Milos Kerkez        2       Hậu vệ
             Max Kilman        2       Hậu vệ
           Jakub Kiwior        1      Tiền vệ
        Justin Kluivert        0     Tiền đạo
          Luca Koleosho        1      Tiền vệ
        Ibrahima Konaté        2       Hậu vệ
             Ezri Konsa        2       Hậu vệ
       Cheikhou Kouyaté        1      Tiền vệ
          Mateo Kovačić        2       Hậu vệ
            Emil Krafth        1      Tiền vệ
         Mohammed Kudus        0     Tiền đạo
       Dejan Kulusevski        0     Tiền đạo
           Adam Lallana        1      Tiền vệ
          Tariq Lamptey        1      Tiền vệ
         Yasser Larouci        1      Tiền vệ
     Jacob Bruun Larsen        1      Tiền vệ
       Jamaal Lascelles        1      Tiền vệ
           Mario Lemina        2       Hậu vệ
        Clément Lenglet        1      Tiền vệ
             Bernd Leno        3      Thủ môn
        Jefferson Lerma        2       Hậu vệ
             Rico Lewis        1      Tiền vệ
     Keane Lewis-Potter        1      Tiền vệ
        Victor Lindelöf        1      Tiền vệ
   Valentino Livramento        1      Tiền vệ
            Tom Lockyer        1      Tiền vệ
   Albert Sambi Lokonga        1      Tiền vệ
         Sean Longstaff        2       Hậu vệ
               Max Lowe        1      Tiền vệ
           Douglas Luiz        0     Tiền đạo
             Saša Lukić        1      Tiền vệ
            Ian Maatsen        1      Tiền vệ
         James Maddison        0     Tiền đạo
           Noni Madueke        0     Tiền đạo
      Gabriel Magalhães        2       Hậu vệ
          Harry Maguire        2       Hậu vệ
          Kobbie Mainoo        2       Hậu vệ
           Orel Mangala        1      Tiền vệ
          Benson Manuel        1      Tiền vệ
            Solly March        1      Tiền vệ
        Anthony Martial        1      Tiền vệ
     Gabriel Martinelli        0     Tiền đạo
      Lisandro Martínez        1      Tiền vệ
      Emiliano Martínez        3      Thủ môn
   Jean-Philippe Mateta        0     Tiền đạo
             Joël Matip        1      Tiền vệ
            Neal Maupay        1      Tiền vệ
            Neal Maupay        1      Tiền vệ
Konstantinos Mavropanos        1      Tiền vệ
           Bryan Mbeumo        0     Tiền đạo
        Oliver McBurnie        1      Tiền vệ
            John McGinn        0     Tiền đạo
          Scott McKenna        1      Tiền vệ
          Dwight McNeil        0     Tiền đạo
        Scott McTominay        2       Hậu vệ
           James Mcatee        1      Tiền vệ
                Ben Mee        1      Tiền vệ
        Hannibal Mejbri        1      Tiền vệ
            Teden Mengi        2       Hậu vệ
           Chris Mepham        1      Tiền vệ
            Lewis Miley        1      Tiền vệ
           James Milner        1      Tiền vệ
        Tyrick Mitchell        2       Hậu vệ
           Kaoru Mitoma        0     Tiền đạo
            Jakub Moder        1      Tiền vệ
        Gonzalo Montiel        1      Tiền vệ
          Kieffer Moore        1      Tiền vệ
            Álex Moreno        1      Tiền vệ
         Carlton Morris        0     Tiền đạo
            Mason Mount        1      Tiền vệ
   Pelly Ruddock Mpanzu        1      Tiền vệ
        Mykhailo Mudryk        0     Tiền đạo
          Rodrigo Muniz        1      Tiền vệ
         Arijanet Muric        1      Tiền vệ
                Murillo        2       Hậu vệ
           Jacob Murphy        1      Tiền vệ
           Daniel Muñoz        1      Tiền vệ
      Vitaliy Mykolenko        2       Hậu vệ
      Marvelous Nakamba        1      Tiền vệ
